timestamp,text,sentimen,emosi
2025-06-21 14:08:55,Cuaca ekstrem makin sering terjadi akibat perubahan iklim,Netral,Sedih
2025-06-21 14:11:54,Cuaca ekstrem makin sering terjadi akibat perubahan iklim,Netral,Sedih
2025-06-21 14:19:23,Saya khawatir PLTN akan dibangun di Papua,Netral,Takut
2025-06-21 14:19:24,Transisi energi hijau sangat penting untuk masa depan,Positif,Senang
2025-06-21 14:19:25,Kebakaran hutan di Kalimantan sangat memprihatinkan,Negatif,Sedih
2025-06-21 14:19:25,Saya mendukung pemerintah dalam menjaga lingkungan,Positif,Senang
2025-06-21 14:19:26,Cuaca ekstrem makin sering terjadi akibat perubahan iklim,Netral,Sedih
2025-06-21 14:19:27,Saya kecewa pembangunan PLTN tidak transparan,Negatif,Marah
2025-06-21 14:19:28,Banjir di Jakarta membuat aktivitas warga terganggu,Negatif,Sedih
2025-06-21 14:19:28,Energi terbarukan adalah solusi masa depan,Netral,Senang
2025-06-21 14:19:30,Saya sedih melihat deforestasi di Sumatera,Negatif,Sedih
2025-06-21 14:19:30,Pemanasan global mengancam petani kecil,Netral,Sedih
2025-06-21 14:25:49,Saya khawatir PLTN akan dibangun di Papua,Netral,Takut
2025-06-21 14:25:50,Transisi energi hijau sangat penting untuk masa depan,Positif,Senang
2025-06-21 14:25:51,Kebakaran hutan di Kalimantan sangat memprihatinkan,Negatif,Sedih
2025-06-21 14:25:51,Saya mendukung pemerintah dalam menjaga lingkungan,Positif,Senang
2025-06-21 14:25:51,Cuaca ekstrem makin sering terjadi akibat perubahan iklim,Netral,Sedih
2025-06-21 14:25:51,Saya kecewa pembangunan PLTN tidak transparan,Negatif,Marah
2025-06-21 14:25:52,Banjir di Jakarta membuat aktivitas warga terganggu,Negatif,Sedih
2025-06-21 14:25:53,Energi terbarukan adalah solusi masa depan,Netral,Senang
2025-06-21 14:25:53,Saya sedih melihat deforestasi di Sumatera,Negatif,Sedih
2025-06-21 14:25:54,Pemanasan global mengancam petani kecil,Netral,Sedih
2025-06-21 14:29:22,Saya khawatir PLTN akan dibangun di Papua,Netral,Takut
2025-06-21 14:29:22,Transisi energi hijau sangat penting untuk masa depan,Positif,Senang
2025-06-21 14:29:24,Kebakaran hutan di Kalimantan sangat memprihatinkan,Negatif,Sedih
2025-06-21 14:29:24,Saya mendukung pemerintah dalam menjaga lingkungan,Positif,Senang
2025-06-21 14:29:24,Cuaca ekstrem makin sering terjadi akibat perubahan iklim,Netral,Sedih
2025-06-21 14:29:25,Saya kecewa pembangunan PLTN tidak transparan,Negatif,Marah
2025-06-21 14:29:26,Banjir di Jakarta membuat aktivitas warga terganggu,Negatif,Sedih
2025-06-21 14:29:27,Energi terbarukan adalah solusi masa depan,Netral,Senang
2025-06-21 14:29:28,Saya sedih melihat deforestasi di Sumatera,Negatif,Sedih
2025-06-21 14:29:28,Pemanasan global mengancam petani kecil,Netral,Sedih
2025-06-21 14:29:30,Saya khawatir PLTN akan dibangun di Papua,Netral,Takut
2025-06-21 14:40:31,Saya khawatir PLTN akan dibangun di Papua,Netral,Takut
2025-06-21 14:41:13,Saya khawatir PLTN akan dibangun di Papua,Netral,Takut
2025-06-21 14:41:14,Transisi energi hijau sangat penting untuk masa depan,Positif,Senang
2025-06-21 14:41:16,Kebakaran hutan di Kalimantan sangat memprihatinkan,Negatif,Sedih
2025-06-21 14:41:16,Saya mendukung pemerintah dalam menjaga lingkungan,Positif,Senang
2025-06-21 14:41:17,Cuaca ekstrem makin sering terjadi akibat perubahan iklim,Netral,Sedih
2025-06-21 14:41:18,Saya kecewa pembangunan PLTN tidak transparan,Negatif,Marah
2025-06-21 14:41:19,Banjir di Jakarta membuat aktivitas warga terganggu,Negatif,Sedih
2025-06-21 14:41:20,Energi terbarukan adalah solusi masa depan,Netral,Senang
2025-06-21 14:41:21,Saya sedih melihat deforestasi di Sumatera,Negatif,Sedih
2025-06-21 14:41:21,Pemanasan global mengancam petani kecil,Netral,Sedih
2025-06-21 15:48:27,Saya khawatir PLTN akan dibangun di Papua,Netral,Takut
2025-06-21 15:49:00,apakah dalam 1 minggu kedepan akan terjadi cuaca buruk,Negatif,Takut
2025-06-21 15:49:23,apakah dalam 1 minggu kedepan akan terjadi cuaca buruk di kendari,Negatif,Takut
2025-06-21 15:49:43,Saya khawatir PLTN akan dibangun di Papua,Netral,Takut
2025-06-21 15:49:44,Transisi energi hijau sangat penting untuk masa depan,Positif,Senang
2025-06-21 15:49:45,Kebakaran hutan di Kalimantan sangat memprihatinkan,Negatif,Sedih
2025-06-21 15:49:45,Saya mendukung pemerintah dalam menjaga lingkungan,Positif,Senang
2025-06-21 15:49:46,Cuaca ekstrem makin sering terjadi akibat perubahan iklim,Netral,Sedih
2025-06-21 15:49:46,Saya kecewa pembangunan PLTN tidak transparan,Negatif,Marah
2025-06-21 15:49:47,Banjir di Jakarta membuat aktivitas warga terganggu,Negatif,Sedih
2025-06-21 15:49:48,Energi terbarukan adalah solusi masa depan,Netral,Senang
2025-06-21 15:49:49,Saya sedih melihat deforestasi di Sumatera,Negatif,Sedih
2025-06-21 15:49:49,Pemanasan global mengancam petani kecil,Netral,Sedih
2025-06-21 15:51:02,apakah dalam 1 minggu kedepan akan terjadi cuaca buruk di kalimantan,Negatif,Takut
2025-06-21 15:51:03,Saya khawatir PLTN akan dibangun di Papua,Netral,Takut
2025-06-21 15:51:04,Transisi energi hijau sangat penting untuk masa depan,Positif,Senang
2025-06-21 15:51:04,Kebakaran hutan di Kalimantan sangat memprihatinkan,Negatif,Sedih
2025-06-21 15:51:05,Saya mendukung pemerintah dalam menjaga lingkungan,Positif,Senang
2025-06-21 15:51:05,Cuaca ekstrem makin sering terjadi akibat perubahan iklim,Netral,Sedih
2025-06-21 15:51:06,Saya kecewa pembangunan PLTN tidak transparan,Negatif,Marah
2025-06-21 15:51:07,Banjir di Jakarta membuat aktivitas warga terganggu,Negatif,Sedih
2025-06-21 15:51:08,Energi terbarukan adalah solusi masa depan,Netral,Senang
2025-06-21 15:51:09,Saya sedih melihat deforestasi di Sumatera,Negatif,Sedih
2025-06-21 15:51:09,Pemanasan global mengancam petani kecil,Netral,Sedih
2025-06-21 15:51:22,apakah dalam 1 minggu kedepan akan terjadi cuaca buruk di balikpapan,Negatif,Sedih
2025-06-21 15:51:23,Saya khawatir PLTN akan dibangun di Papua,Netral,Takut
2025-06-21 15:51:24,Transisi energi hijau sangat penting untuk masa depan,Positif,Senang
2025-06-21 15:51:25,Kebakaran hutan di Kalimantan sangat memprihatinkan,Negatif,Sedih
2025-06-21 15:51:26,Saya mendukung pemerintah dalam menjaga lingkungan,Positif,Senang
2025-06-21 15:51:27,Cuaca ekstrem makin sering terjadi akibat perubahan iklim,Netral,Sedih
2025-06-21 15:51:27,Saya kecewa pembangunan PLTN tidak transparan,Negatif,Marah
2025-06-21 15:51:28,Banjir di Jakarta membuat aktivitas warga terganggu,Negatif,Sedih
2025-06-21 15:51:29,Energi terbarukan adalah solusi masa depan,Netral,Senang
2025-06-21 15:51:31,Saya sedih melihat deforestasi di Sumatera,Negatif,Sedih
2025-06-21 15:51:31,Pemanasan global mengancam petani kecil,Netral,Sedih
2025-06-21 15:51:40,apakah dalam 1 minggu kedepan akan terjadi cuaca buruk di surabaya,Negatif,Sedih
2025-06-21 15:51:50,Saya khawatir PLTN akan dibangun di Papua,Netral,Takut
2025-06-21 15:51:51,Transisi energi hijau sangat penting untuk masa depan,Positif,Senang
2025-06-21 15:51:52,Kebakaran hutan di Kalimantan sangat memprihatinkan,Negatif,Sedih
2025-06-21 15:51:52,Saya mendukung pemerintah dalam menjaga lingkungan,Positif,Senang
2025-06-21 15:51:52,Cuaca ekstrem makin sering terjadi akibat perubahan iklim,Netral,Sedih
2025-06-21 15:51:52,Saya kecewa pembangunan PLTN tidak transparan,Negatif,Marah
2025-06-21 15:51:53,Banjir di Jakarta membuat aktivitas warga terganggu,Negatif,Sedih
2025-06-21 15:51:54,Energi terbarukan adalah solusi masa depan,Netral,Senang
2025-06-21 15:51:55,Saya sedih melihat deforestasi di Sumatera,Negatif,Sedih
2025-06-21 15:51:55,Pemanasan global mengancam petani kecil,Netral,Sedih
2025-06-21 15:53:03,pltn di kendari jelek saya kecewa,Negatif,Marah
2025-06-21 15:53:50,saya khawatir cuaca yang ada di kota kendari,Negatif,Takut
2025-06-21 15:59:15,"saya khawatir cuaca yang ada di surabaya
",Negatif,Takut
2025-06-21 15:59:33,"saya khawatir cuaca yang ada di kalimantan
",Negatif,Takut
2025-06-21 16:00:50,saya khawatir dengan cuaca yang ada di kendari,Negatif,Takut
2025-06-21 16:01:25,saya khawatir dengan cuaca yang ada di makassar,Negatif,Takut
2025-06-21 16:04:59,"saya khawatir dengan cuaca yang ada di kendari
",Negatif,Takut
2025-06-21 17:03:35,pltn dibangun di  papua saya mahasiswa bernama reyvan takut dan kecewa,Negatif,Takut
2025-06-21 17:07:30,aku sangat senang,Positif,Senang
2025-06-21 17:44:40,tes,Netral,Senang
2025-06-21 19:03:37,pltn DI BANGUN DI PAPUA SAYA SANGAT KECEWA,Negatif,Marah
2025-06-21 19:12:09,ptn di bangun di surabaya sangat jelek,Negatif,Sedih
2025-06-21 20:48:03,"nama saya reyvan, menurut saya papua adalah daerah yang sangat cocok dibangun pltn agar masyarakat senang",Positif,Senang
2025-06-21 20:58:58,"nama saya reyvan, dan saya sangat senang dengan pembangunan pltn di kota kalimantan",Positif,Senang
2025-06-22 09:37:47,PLTN di bangun di papua sangat jelek saya kecewa,Negatif,Marah
2025-06-22 09:38:36,PLTN di bangun di papua saya sangat senang,Positif,Senang
2025-06-22 09:42:26,pltn akan dibangun di kalimantan saya sangat kecewa,Negatif,Marah
2025-06-22 10:00:37,Saya khawatir PLTN akan dibangun di Papua,Netral,Takut
2025-06-22 10:00:38,Transisi energi hijau sangat penting untuk masa depan,Positif,Senang
2025-06-22 10:00:39,Kebakaran hutan di Kalimantan sangat memprihatinkan,Negatif,Sedih
2025-06-22 10:00:39,Saya mendukung pemerintah dalam menjaga lingkungan,Positif,Senang
2025-06-22 10:00:40,Cuaca ekstrem makin sering terjadi akibat perubahan iklim,Netral,Sedih
2025-06-22 10:00:40,Saya kecewa pembangunan PLTN tidak transparan,Negatif,Marah
2025-06-22 10:00:41,Banjir di Jakarta membuat aktivitas warga terganggu,Negatif,Sedih
2025-06-22 10:00:42,Energi terbarukan adalah solusi masa depan,Netral,Senang
2025-06-22 10:00:43,Saya sedih melihat deforestasi di Sumatera,Negatif,Sedih
2025-06-22 10:00:44,Pemanasan global mengancam petani kecil,Netral,Sedih
2025-06-22 10:27:50,pltn akan dibangun di papua aya sangat kecewa,Negatif,Marah
2025-06-22 10:28:01,Saya khawatir PLTN akan dibangun di Papua,Netral,Takut
2025-06-22 10:28:02,Transisi energi hijau sangat penting untuk masa depan,Positif,Senang
2025-06-22 10:28:03,Kebakaran hutan di Kalimantan sangat memprihatinkan,Negatif,Sedih
2025-06-22 10:28:03,Saya mendukung pemerintah dalam menjaga lingkungan,Positif,Senang
2025-06-22 10:28:04,Cuaca ekstrem makin sering terjadi akibat perubahan iklim,Netral,Sedih
2025-06-22 10:28:04,Saya kecewa pembangunan PLTN tidak transparan,Negatif,Marah
2025-06-22 10:28:05,Banjir di Jakarta membuat aktivitas warga terganggu,Negatif,Sedih
2025-06-22 10:28:06,Energi terbarukan adalah solusi masa depan,Netral,Senang
2025-06-22 10:28:07,Saya sedih melihat deforestasi di Sumatera,Negatif,Sedih
2025-06-22 10:28:07,Pemanasan global mengancam petani kecil,Netral,Sedih
2025-06-22 10:33:57,Saya khawatir PLTN akan dibangun di Papua,Netral,Takut
2025-06-22 10:33:58,Transisi energi hijau sangat penting untuk masa depan,Positif,Senang
2025-06-22 10:33:58,Kebakaran hutan di Kalimantan sangat memprihatinkan,Negatif,Sedih
2025-06-22 10:33:59,Saya mendukung pemerintah dalam menjaga lingkungan,Positif,Senang
2025-06-22 10:33:59,Cuaca ekstrem makin sering terjadi akibat perubahan iklim,Netral,Sedih
2025-06-22 10:34:00,Saya kecewa pembangunan PLTN tidak transparan,Negatif,Marah
2025-06-22 10:34:00,Banjir di Jakarta membuat aktivitas warga terganggu,Negatif,Sedih
2025-06-22 10:34:01,Energi terbarukan adalah solusi masa depan,Netral,Senang
2025-06-22 10:34:02,Saya sedih melihat deforestasi di Sumatera,Negatif,Sedih
2025-06-22 10:34:02,Pemanasan global mengancam petani kecil,Netral,Sedih
2025-06-22 11:10:54,PLTN itu sangat bagus di bagian surabaya,Positif,Senang
2025-06-22 11:14:04,Saya khawatir PLTN akan dibangun di Papua,Netral,Takut
2025-06-22 11:14:04,Transisi energi hijau sangat penting untuk masa depan,Positif,Senang
2025-06-22 11:14:05,Kebakaran hutan di Kalimantan sangat memprihatinkan,Negatif,Sedih
2025-06-22 11:14:05,Saya mendukung pemerintah dalam menjaga lingkungan,Positif,Senang
2025-06-22 11:14:06,Cuaca ekstrem makin sering terjadi akibat perubahan iklim,Netral,Sedih
2025-06-22 11:14:06,Saya kecewa pembangunan PLTN tidak transparan,Negatif,Marah
2025-06-22 11:14:07,Banjir di Jakarta membuat aktivitas warga terganggu,Negatif,Sedih
2025-06-22 11:14:08,Energi terbarukan adalah solusi masa depan,Netral,Senang
2025-06-22 11:14:09,Saya sedih melihat deforestasi di Sumatera,Negatif,Sedih
2025-06-22 11:14:09,Pemanasan global mengancam petani kecil,Netral,Sedih
2025-06-22 11:15:09,Saya khawatir PLTN akan dibangun di Papua,Netral,Takut
2025-06-22 11:15:09,Transisi energi hijau sangat penting untuk masa depan,Positif,Senang
2025-06-22 11:15:10,Kebakaran hutan di Kalimantan sangat memprihatinkan,Negatif,Sedih
2025-06-22 11:15:10,Saya mendukung pemerintah dalam menjaga lingkungan,Positif,Senang
2025-06-22 11:15:11,Cuaca ekstrem makin sering terjadi akibat perubahan iklim,Netral,Sedih
2025-06-22 11:15:12,Saya kecewa pembangunan PLTN tidak transparan,Negatif,Marah
2025-06-22 11:15:13,Banjir di Jakarta membuat aktivitas warga terganggu,Negatif,Sedih
2025-06-22 11:15:13,Energi terbarukan adalah solusi masa depan,Netral,Senang
2025-06-22 11:15:14,Saya sedih melihat deforestasi di Sumatera,Negatif,Sedih
2025-06-22 11:15:15,Pemanasan global mengancam petani kecil,Netral,Sedih
2025-06-22 14:48:44,pltn di papua sangat bagus dan saya bangga akan itu,Positif,Senang
2025-06-22 15:36:44,Saya khawatir PLTN akan dibangun di Papua,Netral,Takut
2025-06-22 15:36:44,Transisi energi hijau sangat penting untuk masa depan,Positif,Senang
2025-06-22 15:36:45,Kebakaran hutan di Kalimantan sangat memprihatinkan,Negatif,Sedih
2025-06-22 15:36:45,Saya mendukung pemerintah dalam menjaga lingkungan,Positif,Senang
2025-06-22 15:36:46,Cuaca ekstrem makin sering terjadi akibat perubahan iklim,Netral,Sedih
2025-06-22 15:36:47,Saya kecewa pembangunan PLTN tidak transparan,Negatif,Marah
2025-06-22 15:36:47,Banjir di Jakarta membuat aktivitas warga terganggu,Negatif,Sedih
2025-06-22 15:36:48,Energi terbarukan adalah solusi masa depan,Netral,Senang
2025-06-22 15:36:48,Saya sedih melihat deforestasi di Sumatera,Negatif,Sedih
2025-06-22 15:36:49,Pemanasan global mengancam petani kecil,Netral,Sedih
2025-06-22 15:38:56,pltn di papua sangat bagus dan saya bangga akan itu,Positif,Senang
2025-06-22 15:39:11,Saya khawatir PLTN akan dibangun di Papua,Netral,Takut
2025-06-22 15:39:11,Transisi energi hijau sangat penting untuk masa depan,Positif,Senang
2025-06-22 15:39:12,Kebakaran hutan di Kalimantan sangat memprihatinkan,Negatif,Sedih
2025-06-22 15:39:12,Saya mendukung pemerintah dalam menjaga lingkungan,Positif,Senang
2025-06-22 15:39:13,Cuaca ekstrem makin sering terjadi akibat perubahan iklim,Netral,Sedih
2025-06-22 15:39:14,Saya kecewa pembangunan PLTN tidak transparan,Negatif,Marah
2025-06-22 15:39:14,Banjir di Jakarta membuat aktivitas warga terganggu,Negatif,Sedih
2025-06-22 15:39:15,Energi terbarukan adalah solusi masa depan,Netral,Senang
2025-06-22 15:39:16,Saya sedih melihat deforestasi di Sumatera,Negatif,Sedih
2025-06-22 15:39:17,Pemanasan global mengancam petani kecil,Netral,Sedih
2025-06-23 11:09:13,saya khawatir kendari hujan,Negatif,Takut
2025-06-23 11:12:45,saya khawatir kendari badai cuy,Negatif,Takut
2025-06-23 11:16:13,bagamana kabar cuaca di kalimantan?,Netral,Sedih
2025-06-23 11:20:14,saya khawatir cuaca di kalimantan,Negatif,Takut
2025-06-23 11:27:00,saya khawatir cuaca di kalimantan,Negatif,Takut
2025-06-23 11:27:15,saya khawatir cuaca di jakarta,Negatif,Takut
2025-06-23 11:28:18,saya khawatir cuaca di kalimantan,Negatif,Takut
2025-06-23 11:31:51,saya khawati cuaca kalimantan,Positif,Sedih
2025-06-23 12:01:42,info cuaca kendari,Netral,Sedih
2025-06-23 12:04:41,cuaca kendari hujan terus jadi takut banjir,Negatif,Takut
2025-06-23 12:04:55,cuaca kalimantan hujan terus jadi takut banjir,Negatif,Takut
2025-06-23 12:06:55,cuaca di kalimantan hujan terus jadi takut banjir,Negatif,Takut
2025-06-23 12:11:45,saya khawatir cuaca kalimantan yang hujan terus,Negatif,Takut
2025-06-23 12:34:46,saya reyvan dan saya lihat iklim di kalimantan sangat buruk dan jelek akibat tidak ada PLTN,Negatif,Sedih
2025-06-23 12:35:12,"saya reyvan dan saya lihat iklim di surabaya 
sangat buruk dan jelek akibat tidak ada PLTN",Negatif,Sedih
2025-06-23 13:11:01,Saya khawatir PLTN akan dibangun di Papua,Netral,Takut
2025-06-23 13:11:01,Transisi energi hijau sangat penting untuk masa depan,Positif,Senang
2025-06-23 13:11:02,Kebakaran hutan di Kalimantan sangat memprihatinkan,Negatif,Sedih
2025-06-23 13:11:02,Saya mendukung pemerintah dalam menjaga lingkungan,Positif,Senang
2025-06-23 13:11:03,Cuaca ekstrem makin sering terjadi akibat perubahan iklim,Netral,Sedih
2025-06-23 13:11:04,Saya kecewa pembangunan PLTN tidak transparan,Negatif,Marah
2025-06-23 13:11:05,Banjir di Jakarta membuat aktivitas warga terganggu,Negatif,Sedih
2025-06-23 13:11:05,Energi terbarukan adalah solusi masa depan,Netral,Senang
2025-06-23 13:11:06,Saya sedih melihat deforestasi di Sumatera,Negatif,Sedih
2025-06-23 13:11:07,Pemanasan global mengancam petani kecil,Netral,Sedih
2025-06-23 13:13:13, halo namasaya rafri munurot saya peltain dikendaritu jilek,Netral,Marah
2025-06-23 13:13:26,Saya khawatir PLTN akan dibangun di Papua,Netral,Takut
2025-06-23 13:13:26,Transisi energi hijau sangat penting untuk masa depan,Positif,Senang
2025-06-23 13:13:27,Kebakaran hutan di Kalimantan sangat memprihatinkan,Negatif,Sedih
2025-06-23 13:13:28,Saya mendukung pemerintah dalam menjaga lingkungan,Positif,Senang
2025-06-23 13:13:28,Cuaca ekstrem makin sering terjadi akibat perubahan iklim,Netral,Sedih
2025-06-23 13:13:28,Saya kecewa pembangunan PLTN tidak transparan,Negatif,Marah
2025-06-23 13:13:29,Banjir di Jakarta membuat aktivitas warga terganggu,Negatif,Sedih
2025-06-23 13:13:29,Energi terbarukan adalah solusi masa depan,Netral,Senang
2025-06-23 13:13:30,Saya sedih melihat deforestasi di Sumatera,Negatif,Sedih
2025-06-23 13:13:30,Pemanasan global mengancam petani kecil,Netral,Sedih
2025-06-23 14:23:46," Halo, namasanya Rafli, menurut saya, iklim di kendari saat ini sangat lah buruk.",Negatif,Sedih
2025-06-23 14:23:59,Saya khawatir PLTN akan dibangun di Papua,Netral,Takut
2025-06-23 14:24:00,Transisi energi hijau sangat penting untuk masa depan,Positif,Senang
2025-06-23 14:24:00,Kebakaran hutan di Kalimantan sangat memprihatinkan,Negatif,Sedih
2025-06-23 14:24:00,Saya mendukung pemerintah dalam menjaga lingkungan,Positif,Senang
2025-06-23 14:24:01,Cuaca ekstrem makin sering terjadi akibat perubahan iklim,Netral,Sedih
2025-06-23 14:24:01,Saya kecewa pembangunan PLTN tidak transparan,Negatif,Marah
2025-06-23 14:24:02,Banjir di Jakarta membuat aktivitas warga terganggu,Negatif,Sedih
2025-06-23 14:24:02,Energi terbarukan adalah solusi masa depan,Netral,Senang
2025-06-23 14:24:03,Saya sedih melihat deforestasi di Sumatera,Negatif,Sedih
2025-06-23 14:24:03,Pemanasan global mengancam petani kecil,Netral,Sedih
2025-06-24 05:20:12,"nama saya reyvan, saya dari makassar, dan menurut saya perubahan iklim sangat tidak menentu skarang, dan saya sangat prihatin untuk hal itu",Negatif,Sedih
2025-06-24 05:24:57,Senang lihat pemerintah tanam pohon di Kalimantan,Positif,Senang
